,conm,type,cik,date,path
29548,"ADM TRONICS UNLIMITED, INC.",NT 10-Q,849401,2020-08-14,https://www.sec.gov/Archives/edgar/data/849401/0001437749-20-017973-index.htm
29549,"ADMA BIOLOGICS, INC.",10-Q,1368514,2020-08-05,https://www.sec.gov/Archives/edgar/data/1368514/0001193805-20-000960-index.htm
29550,"ADOMANI, INC.",10-Q,1563568,2020-08-14,https://www.sec.gov/Archives/edgar/data/1563568/0001564590-20-040182-index.htm
29551,ADT Inc.,10-Q,1703056,2020-08-05,https://www.sec.gov/Archives/edgar/data/1703056/0001703056-20-000107-index.htm
29552,ADTRAN INC,10-Q,926282,2020-08-07,https://www.sec.gov/Archives/edgar/data/926282/0001564590-20-038237-index.htm
29553,"ADURO BIOTECH, INC.",10-Q,1435049,2020-08-03,https://www.sec.gov/Archives/edgar/data/1435049/0001564590-20-035508-index.htm
29554,"ADVANCED DRAINAGE SYSTEMS, INC.",10-Q,1604028,2020-08-06,https://www.sec.gov/Archives/edgar/data/1604028/0001564590-20-037745-index.htm
29555,ADVANCED ENERGY INDUSTRIES INC,10-Q,927003,2020-08-05,https://www.sec.gov/Archives/edgar/data/927003/0001558370-20-009283-index.htm
29556,ADVANCED MICRO DEVICES INC,10-Q,2488,2020-07-29,https://www.sec.gov/Archives/edgar/data/2488/0000002488-20-000103-index.htm
29557,"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",13F-HR,1802867,2020-08-10,https://www.sec.gov/Archives/edgar/data/1802867/0001104659-20-092700-index.htm
29558,ADVENT CAPITAL MANAGEMENT /DE/,13F-HR,1097278,2020-08-14,https://www.sec.gov/Archives/edgar/data/1097278/0001567619-20-015251-index.htm
29559,ADVENT INTERNATIONAL CORP/MA,13F-HR,1034196,2020-08-14,https://www.sec.gov/Archives/edgar/data/1034196/0000950123-20-009105-index.htm
29560,ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP,13F-HR,1103139,2020-08-10,https://www.sec.gov/Archives/edgar/data/1103139/0001172661-20-001631-index.htm
29561,"ADVISOR GROUP HOLDINGS, INC.",13F-HR,1677044,2020-08-14,https://www.sec.gov/Archives/edgar/data/1677044/0001677044-20-000024-index.htm
29562,ADVISOR PARTNERS LLC,13F-HR,1456114,2020-08-12,https://www.sec.gov/Archives/edgar/data/1456114/0001456114-20-000005-index.htm
29563,ADVISORONE FUNDS,DEF 14A,1029068,2020-07-31,https://www.sec.gov/Archives/edgar/data/1029068/0001580642-20-002814-index.htm
29564,ADVISORS MANAGEMENT GROUP INC /ADV,13F-HR,842766,2020-08-06,https://www.sec.gov/Archives/edgar/data/842766/0000842766-20-000003-index.htm
29565,ADVISORY RESEARCH INC,13F-HR,902584,2020-08-13,https://www.sec.gov/Archives/edgar/data/902584/0000902584-20-000018-index.htm
29566,"ADW Capital Management, LLC",13F-HR,1745214,2020-08-14,https://www.sec.gov/Archives/edgar/data/1745214/0001387131-20-007466-index.htm
29567,"ADiTx Therapeutics, Inc.",10-Q,1726711,2020-08-13,https://www.sec.gov/Archives/edgar/data/1726711/0001213900-20-021942-index.htm
29568,AE Wealth Management LLC,13F-HR,1697723,2020-08-05,https://www.sec.gov/Archives/edgar/data/1697723/0001697723-20-000003-index.htm
29569,AECOM,10-Q,868857,2020-08-05,https://www.sec.gov/Archives/edgar/data/868857/0001104659-20-090849-index.htm
29570,"AEGON USA Investment Management, LLC",13F-HR,1454937,2020-07-15,https://www.sec.gov/Archives/edgar/data/1454937/0001454937-20-000007-index.htm
29571,AEI INCOME & GROWTH FUND 24 LLC,10-Q,1130758,2020-08-14,https://www.sec.gov/Archives/edgar/data/1130758/0000894245-20-000037-index.htm
29572,AEI INCOME & GROWTH FUND 25 LLC,10-Q,1185198,2020-08-14,https://www.sec.gov/Archives/edgar/data/1185198/0000894245-20-000038-index.htm
29573,AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,10-Q,931755,2020-08-14,https://www.sec.gov/Archives/edgar/data/931755/0000894245-20-000035-index.htm
29574,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,10-Q,1023458,2020-08-14,https://www.sec.gov/Archives/edgar/data/1023458/0000894245-20-000036-index.htm
29575,AEI Income & Growth Fund 26 LLC,10-Q,1326321,2020-08-14,https://www.sec.gov/Archives/edgar/data/1326321/0000894245-20-000039-index.htm
29576,AEI NET LEASE INCOME & GROWTH FUND XX LIMITED PARTNERSHIP,10-Q,894245,2020-08-14,https://www.sec.gov/Archives/edgar/data/894245/0000894245-20-000034-index.htm
29577,"AEMETIS, INC",10-Q,738214,2020-08-13,https://www.sec.gov/Archives/edgar/data/738214/0001654954-20-008997-index.htm
29578,AEP Texas Inc.,10-Q,1721781,2020-08-06,https://www.sec.gov/Archives/edgar/data/1721781/0000004904-20-000062-index.htm
29579,"AEP Transmission Company, LLC",10-Q,1702494,2020-08-06,https://www.sec.gov/Archives/edgar/data/1702494/0000004904-20-000062-index.htm
29580,AERIE PHARMACEUTICALS INC,10-Q,1337553,2020-08-07,https://www.sec.gov/Archives/edgar/data/1337553/0001628280-20-012056-index.htm
29581,AEROCENTURY CORP,10-Q,1036848,2020-08-14,https://www.sec.gov/Archives/edgar/data/1036848/0001654954-20-009165-index.htm
29582,"AEROJET ROCKETDYNE HOLDINGS, INC.",10-Q,40888,2020-07-27,https://www.sec.gov/Archives/edgar/data/40888/0000040888-20-000022-index.htm
29583,AES CORP,10-Q,874761,2020-08-06,https://www.sec.gov/Archives/edgar/data/874761/0000874761-20-000050-index.htm
29584,AETHLON MEDICAL INC,10-Q,882291,2020-08-11,https://www.sec.gov/Archives/edgar/data/882291/0001683168-20-002625-index.htm
29585,AETHLON MEDICAL INC,DEF 14A,882291,2020-07-28,https://www.sec.gov/Archives/edgar/data/882291/0001683168-20-002402-index.htm
29586,AEW CAPITAL MANAGEMENT L P,13F-HR,1046187,2020-08-04,https://www.sec.gov/Archives/edgar/data/1046187/0001104659-20-090316-index.htm
29587,"AF Advisors, Inc.",13F-HR,1818044,2020-08-11,https://www.sec.gov/Archives/edgar/data/1818044/0001085146-20-002124-index.htm
29588,AFF Holding Group Inc.,10-Q,1469038,2020-07-31,https://www.sec.gov/Archives/edgar/data/1469038/0001683168-20-002426-index.htm
29589,"AFFILIATED MANAGERS GROUP, INC.",10-Q,1004434,2020-07-31,https://www.sec.gov/Archives/edgar/data/1004434/0001004434-20-000029-index.htm
29590,"AFFINIA FINANCIAL GROUP, LLC",13F-HR,1802862,2020-08-14,https://www.sec.gov/Archives/edgar/data/1802862/0001802862-20-000004-index.htm
29591,"AFFINITY INVESTMENT ADVISORS, LLC",13F-HR,1520601,2020-08-13,https://www.sec.gov/Archives/edgar/data/1520601/0001520601-20-000007-index.htm
29592,AFFINITY WEALTH MANAGEMENT LLC,13F-HR,810672,2020-08-13,https://www.sec.gov/Archives/edgar/data/810672/0000810672-20-000003-index.htm
29593,AFLAC INC,10-Q,4977,2020-07-29,https://www.sec.gov/Archives/edgar/data/4977/0000004977-20-000104-index.htm
29594,"AFTERMASTER, INC.",10-Q,836809,2020-07-06,https://www.sec.gov/Archives/edgar/data/836809/0001654954-20-007386-index.htm
29595,"AFTERMASTER, INC.",10-Q/A,836809,2020-07-17,https://www.sec.gov/Archives/edgar/data/836809/0001654954-20-007797-index.htm
29596,"AG Mortgage Investment Trust, Inc.",10-Q,1514281,2020-08-10,https://www.sec.gov/Archives/edgar/data/1514281/0001514281-20-000094-index.htm
29597,"AG Twin Brook BDC, Inc.",10-Q,1666384,2020-08-13,https://www.sec.gov/Archives/edgar/data/1666384/0001135428-20-000110-index.htm
29598,AGBA Acquisition Ltd,10-Q,1769624,2020-08-14,https://www.sec.gov/Archives/edgar/data/1769624/0001213900-20-022265-index.htm
29599,AGBA Acquisition Ltd,DEF 14A,1769624,2020-07-31,https://www.sec.gov/Archives/edgar/data/1769624/0001213900-20-019634-index.htm
29600,AGCO CORP /DE,10-Q,880266,2020-08-07,https://www.sec.gov/Archives/edgar/data/880266/0000880266-20-000039-index.htm
29601,AGENUS INC,10-Q,1098972,2020-08-10,https://www.sec.gov/Archives/edgar/data/1098972/0001564590-20-038847-index.htm
29602,AGF INVESTMENTS INC.,13F-HR,1157765,2020-08-11,https://www.sec.gov/Archives/edgar/data/1157765/0001567619-20-014700-index.htm
29603,AGF Investments America Inc.,13F-HR,1591590,2020-08-11,https://www.sec.gov/Archives/edgar/data/1591590/0001567619-20-014695-index.htm
29604,AGF Investments LLC,13F-HR,1479598,2020-08-11,https://www.sec.gov/Archives/edgar/data/1479598/0001567619-20-014697-index.htm
29605,AGILE THERAPEUTICS INC,10-Q,1261249,2020-08-11,https://www.sec.gov/Archives/edgar/data/1261249/0001558370-20-010330-index.htm
29606,AGILYSYS INC,10-K/A,78749,2020-07-29,https://www.sec.gov/Archives/edgar/data/78749/0001564590-20-034355-index.htm
29607,AGILYSYS INC,10-Q,78749,2020-07-31,https://www.sec.gov/Archives/edgar/data/78749/0001564590-20-035113-index.htm
29608,"AGIOS PHARMACEUTICALS, INC.",10-Q,1439222,2020-07-30,https://www.sec.gov/Archives/edgar/data/1439222/0001439222-20-000059-index.htm
29609,AGNC Investment Corp.,10-Q,1423689,2020-08-07,https://www.sec.gov/Archives/edgar/data/1423689/0001423689-20-000047-index.htm
29610,AGREE REALTY CORP,10-Q,917251,2020-07-20,https://www.sec.gov/Archives/edgar/data/917251/0001558370-20-008238-index.htm
29611,AGUR PROVIDENT & TRAINING FUNDS MANAGEMENT LTD,13F-HR,1670627,2020-08-13,https://www.sec.gov/Archives/edgar/data/1670627/0001670627-20-000003-index.htm
29612,"AH Equity Partners I, L.L.C.",13F-HR,1466219,2020-08-14,https://www.sec.gov/Archives/edgar/data/1466219/0001104659-20-095661-index.htm
29613,"AH Equity Partners III (Parallel), L.L.C.",13F-HR,1540359,2020-08-14,https://www.sec.gov/Archives/edgar/data/1540359/0001104659-20-095668-index.htm
29614,"AH Equity Partners III, L.L.C.",13F-HR,1540361,2020-08-14,https://www.sec.gov/Archives/edgar/data/1540361/0001104659-20-095666-index.htm
29615,"AH Equity Partners IV (Parallel), L.L.C.",13F-HR,1603419,2020-08-14,https://www.sec.gov/Archives/edgar/data/1603419/0001104659-20-095665-index.htm
29616,AIA Group Ltd,13F-HR,1522877,2020-08-11,https://www.sec.gov/Archives/edgar/data/1522877/0001104659-20-093120-index.htm
29617,AIA International Ltd,13F-HR,1758261,2020-08-11,https://www.sec.gov/Archives/edgar/data/1758261/0001104659-20-093121-index.htm
29618,AIA Investment Management HK Ltd,13F-HR,1802469,2020-08-11,https://www.sec.gov/Archives/edgar/data/1802469/0001104659-20-093122-index.htm
29619,AIA Investment Management Private Ltd,13F-HR,1757363,2020-08-11,https://www.sec.gov/Archives/edgar/data/1757363/0001104659-20-093123-index.htm
29620,"AIGEN INVESTMENT MANAGEMENT, LP",13F-HR,1741224,2020-08-10,https://www.sec.gov/Archives/edgar/data/1741224/0001420506-20-000851-index.htm
29621,AILERON THERAPEUTICS INC,10-Q,1420565,2020-08-05,https://www.sec.gov/Archives/edgar/data/1420565/0001564590-20-036769-index.htm
29622,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUTUAL,DEF 14A,880859,2020-07-23,https://www.sec.gov/Archives/edgar/data/880859/0001680359-20-000400-index.htm
29623,AIM INVESTMENT FUNDS (INVESCO INVESTMENT FUNDS),DEF 14A,826644,2020-07-23,https://www.sec.gov/Archives/edgar/data/826644/0001680359-20-000400-index.htm
29624,AIM ImmunoTech Inc.,10-Q,946644,2020-08-14,https://www.sec.gov/Archives/edgar/data/946644/0001493152-20-015932-index.htm
